success,failure,stuck,success_percent,failure_percent,stuck_percent
0,0,1,0.0,0.0,1.0
0,0,2,0.0,0.0,1.0
0,0,3,0.0,0.0,1.0
0,0,4,0.0,0.0,1.0
0,0,5,0.0,0.0,1.0
0,0,6,0.0,0.0,1.0
0,1,6,0.0,0.1429,0.8571
0,2,5,0.0,0.2857,0.7143
0,3,4,0.0,0.4286,0.5714
0,4,3,0.0,0.5714,0.4286
0,5,2,0.0,0.7143,0.2857
0,6,1,0.0,0.8571,0.1429
0,7,0,0.0,1.0,0.0
0,7,1,0.0,0.875,0.125
0,7,2,0.0,0.7778,0.2222
0,7,3,0.0,0.7,0.3
1,7,2,0.1,0.7,0.2
1,8,1,0.1,0.8,0.1
1,9,0,0.1,0.9,0.0
1,9,1,0.0909,0.8182,0.0909
1,9,2,0.0833,0.75,0.1667
1,9,3,0.0769,0.6923,0.2308
1,9,4,0.0714,0.6429,0.2857
1,9,5,0.0667,0.6,0.3333
1,9,6,0.0625,0.5625,0.375
1,10,6,0.0588,0.5882,0.3529
1,11,6,0.0556,0.6111,0.3333
1,12,5,0.0556,0.6667,0.2778
1,13,4,0.0556,0.7222,0.2222
1,14,3,0.0556,0.7778,0.1667
1,15,2,0.0556,0.8333,0.1111
1,16,1,0.0556,0.8889,0.0556
1,17,0,0.0556,0.9444,0.0
1,17,1,0.0526,0.8947,0.0526
1,17,2,0.05,0.85,0.1
1,17,3,0.0476,0.8095,0.1429
2,17,2,0.0952,0.8095,0.0952
3,17,1,0.1429,0.8095,0.0476
3,18,0,0.1429,0.8571,0.0
4,18,0,0.1818,0.8182,0.0
5,18,0,0.2174,0.7826,0.0
6,18,0,0.25,0.75,0.0
7,18,0,0.28,0.72,0.0
7,18,1,0.2692,0.6923,0.0385
7,18,2,0.2593,0.6667,0.0741
7,18,3,0.25,0.6429,0.1071
8,18,3,0.2759,0.6207,0.1034
9,18,2,0.3103,0.6207,0.069
9,19,1,0.3103,0.6552,0.0345
9,20,0,0.3103,0.6897,0.0
9,20,1,0.3,0.6667,0.0333
9,20,2,0.2903,0.6452,0.0645
9,20,3,0.2812,0.625,0.0938
9,20,4,0.2727,0.6061,0.1212
9,20,5,0.2647,0.5882,0.1471
9,21,4,0.2647,0.6176,0.1176
9,22,3,0.2647,0.6471,0.0882
9,23,2,0.2647,0.6765,0.0588
10,23,1,0.2941,0.6765,0.0294
10,24,0,0.2941,0.7059,0.0
10,24,1,0.2857,0.6857,0.0286
