success,failure,stuck,success_percent,failure_percent,stuck_percent
0,0,1,0.0,0.0,1.0
0,0,2,0.0,0.0,1.0
0,0,3,0.0,0.0,1.0
0,0,4,0.0,0.0,1.0
0,0,5,0.0,0.0,1.0
0,0,6,0.0,0.0,1.0
0,1,6,0.0,0.1429,0.8571
0,2,5,0.0,0.2857,0.7143
0,3,4,0.0,0.4286,0.5714
0,4,3,0.0,0.5714,0.4286
0,5,2,0.0,0.7143,0.2857
0,6,1,0.0,0.8571,0.1429
1,6,0,0.1429,0.8571,0.0
1,6,1,0.125,0.75,0.125
1,6,2,0.1111,0.6667,0.2222
1,6,3,0.1,0.6,0.3
2,6,2,0.2,0.6,0.2
2,7,1,0.2,0.7,0.1
2,8,0,0.2,0.8,0.0
2,8,1,0.1818,0.7273,0.0909
2,8,2,0.1667,0.6667,0.1667
2,8,3,0.1538,0.6154,0.2308
2,8,4,0.1429,0.5714,0.2857
2,8,5,0.1333,0.5333,0.3333
3,8,4,0.2,0.5333,0.2667
3,9,3,0.2,0.6,0.2
3,10,2,0.2,0.6667,0.1333
3,10,3,0.1875,0.625,0.1875
3,10,4,0.1765,0.5882,0.2353
4,10,4,0.2222,0.5556,0.2222
5,10,3,0.2778,0.5556,0.1667
5,11,2,0.2778,0.6111,0.1111
5,12,1,0.2778,0.6667,0.0556
5,13,0,0.2778,0.7222,0.0
5,13,1,0.2632,0.6842,0.0526
5,13,2,0.25,0.65,0.1
5,13,3,0.2381,0.619,0.1429
6,13,2,0.2857,0.619,0.0952
6,14,1,0.2857,0.6667,0.0476
6,15,0,0.2857,0.7143,0.0
6,15,1,0.2727,0.6818,0.0455
7,15,0,0.3182,0.6818,0.0
7,15,1,0.3043,0.6522,0.0435
8,15,0,0.3478,0.6522,0.0
9,15,0,0.375,0.625,0.0
10,15,0,0.4,0.6,0.0
10,15,1,0.3846,0.5769,0.0385
10,15,2,0.3704,0.5556,0.0741
10,15,3,0.3571,0.5357,0.1071
10,16,3,0.3448,0.5517,0.1034
11,16,2,0.3793,0.5517,0.069
12,16,1,0.4138,0.5517,0.0345
12,17,0,0.4138,0.5862,0.0
12,17,1,0.4,0.5667,0.0333
12,17,2,0.3871,0.5484,0.0645
13,17,2,0.4062,0.5312,0.0625
13,18,1,0.4062,0.5625,0.0312
14,18,1,0.4242,0.5455,0.0303
14,18,2,0.4118,0.5294,0.0588
14,19,1,0.4118,0.5588,0.0294
15,19,1,0.4286,0.5429,0.0286
