success,failure,stuck,success_percent,failure_percent
0,0,1,0.0,0.0
0,0,2,0.0,0.0
0,0,3,0.0,0.0
0,0,4,0.0,0.0
0,0,5,0.0,0.0
0,0,6,0.0,0.0
0,1,6,0.0,1.0
0,2,5,0.0,1.0
0,3,4,0.0,1.0
0,4,3,0.0,1.0
0,5,2,0.0,1.0
0,6,1,0.0,1.0
0,7,0,0.0,1.0
0,7,1,0.0,1.0
0,7,2,0.0,1.0
0,7,3,0.0,1.0
0,8,2,0.0,1.0
0,9,1,0.0,1.0
0,10,0,0.0,1.0
0,10,1,0.0,1.0
0,10,2,0.0,1.0
0,10,3,0.0,1.0
0,10,4,0.0,1.0
0,10,5,0.0,1.0
0,10,6,0.0,1.0
0,10,7,0.0,1.0
0,11,7,0.0,1.0
0,12,6,0.0,1.0
0,13,5,0.0,1.0
0,14,4,0.0,1.0
0,15,3,0.0,1.0
0,16,2,0.0,1.0
0,17,1,0.0,1.0
0,18,0,0.0,1.0
0,18,1,0.0,1.0
0,18,2,0.0,1.0
0,18,3,0.0,1.0
1,18,2,0.0526,0.9474
1,19,1,0.05,0.95
1,20,0,0.0476,0.9524
2,20,0,0.0909,0.9091
2,20,1,0.0909,0.9091
2,20,2,0.0909,0.9091
3,20,1,0.1304,0.8696
4,20,1,0.1667,0.8333
5,20,0,0.2,0.8
5,20,1,0.2,0.8
5,20,2,0.2,0.8
5,20,3,0.2,0.8
5,20,4,0.2,0.8
5,21,3,0.1923,0.8077
6,21,2,0.2222,0.7778
6,22,1,0.2143,0.7857
6,23,0,0.2069,0.7931
6,23,1,0.2069,0.7931
6,23,2,0.2069,0.7931
6,23,3,0.2069,0.7931
6,23,4,0.2069,0.7931
6,24,3,0.2,0.8
7,24,2,0.2258,0.7742
7,25,1,0.2188,0.7812
7,26,0,0.2121,0.7879
7,26,1,0.2121,0.7879
7,26,2,0.2121,0.7879
7,27,2,0.2059,0.7941
7,27,3,0.2059,0.7941
7,27,4,0.2059,0.7941
7,28,3,0.2,0.8
7,29,2,0.1944,0.8056
7,30,1,0.1892,0.8108
7,31,0,0.1842,0.8158
7,31,1,0.1842,0.8158
7,31,2,0.1842,0.8158
7,31,3,0.1842,0.8158
7,31,4,0.1842,0.8158
7,31,5,0.1842,0.8158
7,31,6,0.1842,0.8158
7,31,7,0.1842,0.8158
7,31,8,0.1842,0.8158
7,32,8,0.1795,0.8205
7,32,9,0.1795,0.8205
7,33,8,0.175,0.825
7,34,7,0.1707,0.8293
7,35,6,0.1667,0.8333
8,35,5,0.186,0.814
8,36,4,0.1818,0.8182
8,37,3,0.1778,0.8222
8,38,2,0.1739,0.8261
8,39,1,0.1702,0.8298
8,40,0,0.1667,0.8333
8,40,1,0.1667,0.8333
8,41,1,0.1633,0.8367
8,42,1,0.16,0.84
8,42,2,0.16,0.84
8,42,3,0.16,0.84
8,43,2,0.1569,0.8431
8,44,1,0.1538,0.8462
8,45,0,0.1509,0.8491
8,45,1,0.1509,0.8491
8,45,2,0.1509,0.8491
8,45,3,0.1509,0.8491
8,45,4,0.1509,0.8491
8,45,5,0.1509,0.8491
8,45,6,0.1509,0.8491
8,45,7,0.1509,0.8491
8,45,8,0.1509,0.8491
8,45,9,0.1509,0.8491
8,45,10,0.1509,0.8491
8,45,11,0.1509,0.8491
8,45,12,0.1509,0.8491
8,45,13,0.1509,0.8491
8,45,14,0.1509,0.8491
8,46,13,0.1481,0.8519
8,46,14,0.1481,0.8519
8,47,13,0.1455,0.8545
8,47,14,0.1455,0.8545
8,48,13,0.1429,0.8571
8,48,14,0.1429,0.8571
8,48,15,0.1429,0.8571
8,49,15,0.1404,0.8596
8,50,14,0.1379,0.8621
8,51,13,0.1356,0.8644
8,52,12,0.1333,0.8667
8,53,11,0.1311,0.8689
8,54,10,0.129,0.871
8,55,9,0.127,0.873
8,56,8,0.125,0.875
8,57,7,0.1231,0.8769
8,58,6,0.1212,0.8788
8,59,5,0.1194,0.8806
8,60,4,0.1176,0.8824
8,61,3,0.1159,0.8841
8,62,2,0.1143,0.8857
8,63,1,0.1127,0.8873
8,64,0,0.1111,0.8889
8,64,1,0.1111,0.8889
8,64,2,0.1111,0.8889
8,65,1,0.1096,0.8904
8,66,0,0.1081,0.8919
8,66,1,0.1081,0.8919
8,67,1,0.1067,0.8933
8,67,2,0.1067,0.8933
8,67,3,0.1067,0.8933
8,67,4,0.1067,0.8933
8,67,5,0.1067,0.8933
8,67,6,0.1067,0.8933
8,67,7,0.1067,0.8933
8,67,8,0.1067,0.8933
8,67,9,0.1067,0.8933
8,68,8,0.1053,0.8947
8,69,7,0.1039,0.8961
8,70,6,0.1026,0.8974
8,71,5,0.1013,0.8987
9,71,4,0.1125,0.8875
9,72,3,0.1111,0.8889
9,73,2,0.1098,0.8902
9,74,1,0.1084,0.8916
9,75,0,0.1071,0.8929
9,75,1,0.1071,0.8929
9,75,2,0.1071,0.8929
9,75,3,0.1071,0.8929
9,76,2,0.1059,0.8941
9,77,1,0.1047,0.8953
9,78,0,0.1034,0.8966
9,78,1,0.1034,0.8966
9,78,2,0.1034,0.8966
9,78,3,0.1034,0.8966
9,78,4,0.1034,0.8966
9,78,5,0.1034,0.8966
9,78,6,0.1034,0.8966
9,78,7,0.1034,0.8966
9,78,8,0.1034,0.8966
9,78,9,0.1034,0.8966
9,78,10,0.1034,0.8966
9,78,11,0.1034,0.8966
9,79,10,0.1023,0.8977
9,80,10,0.1011,0.8989
9,81,9,0.1,0.9
9,82,9,0.0989,0.9011
9,83,8,0.0978,0.9022
9,84,7,0.0968,0.9032
9,85,6,0.0957,0.9043
9,86,5,0.0947,0.9053
9,87,4,0.0938,0.9062
9,88,3,0.0928,0.9072
9,89,2,0.0918,0.9082
9,90,1,0.0909,0.9091
9,91,0,0.09,0.91
9,92,0,0.0891,0.9109
9,92,1,0.0891,0.9109
9,93,0,0.0882,0.9118
9,93,1,0.0882,0.9118
9,93,2,0.0882,0.9118
