success,failure,stuck,success_percent,failure_percent,stuck_percent
0,0,1,0.0,0.0,1.0
0,0,2,0.0,0.0,1.0
0,0,3,0.0,0.0,1.0
0,0,4,0.0,0.0,1.0
0,0,5,0.0,0.0,1.0
0,0,6,0.0,0.0,1.0
0,1,6,0.0,0.1429,0.8571
0,2,5,0.0,0.2857,0.7143
0,3,4,0.0,0.4286,0.5714
0,4,3,0.0,0.5714,0.4286
0,5,2,0.0,0.7143,0.2857
0,6,1,0.0,0.8571,0.1429
1,6,0,0.1429,0.8571,0.0
1,6,1,0.125,0.75,0.125
1,6,2,0.1111,0.6667,0.2222
1,6,3,0.1,0.6,0.3
2,6,2,0.2,0.6,0.2
2,7,1,0.2,0.7,0.1
2,8,0,0.2,0.8,0.0
2,8,1,0.1818,0.7273,0.0909
2,8,2,0.1667,0.6667,0.1667
2,8,3,0.1538,0.6154,0.2308
2,8,4,0.1429,0.5714,0.2857
3,8,4,0.2,0.5333,0.2667
3,9,3,0.2,0.6,0.2
3,10,2,0.2,0.6667,0.1333
3,10,3,0.1875,0.625,0.1875
4,10,3,0.2353,0.5882,0.1765
5,10,3,0.2778,0.5556,0.1667
5,11,2,0.2778,0.6111,0.1111
6,11,1,0.3333,0.6111,0.0556
6,12,0,0.3333,0.6667,0.0
6,12,1,0.3158,0.6316,0.0526
6,12,2,0.3,0.6,0.1
6,12,3,0.2857,0.5714,0.1429
7,12,2,0.3333,0.5714,0.0952
7,13,1,0.3333,0.619,0.0476
7,14,0,0.3333,0.6667,0.0
8,14,0,0.3636,0.6364,0.0
8,14,1,0.3478,0.6087,0.0435
9,14,0,0.3913,0.6087,0.0
10,14,0,0.4167,0.5833,0.0
11,14,0,0.44,0.56,0.0
11,14,1,0.4231,0.5385,0.0385
11,14,2,0.4074,0.5185,0.0741
11,14,3,0.3929,0.5,0.1071
12,14,3,0.4138,0.4828,0.1034
13,14,2,0.4483,0.4828,0.069
13,15,1,0.4483,0.5172,0.0345
13,16,0,0.4483,0.5517,0.0
13,16,1,0.4333,0.5333,0.0333
13,16,2,0.4194,0.5161,0.0645
13,16,3,0.4062,0.5,0.0938
13,16,4,0.3939,0.4848,0.1212
13,16,5,0.3824,0.4706,0.1471
14,16,4,0.4118,0.4706,0.1176
14,17,3,0.4118,0.5,0.0882
14,18,2,0.4118,0.5294,0.0588
14,18,3,0.4,0.5143,0.0857
14,19,2,0.4,0.5429,0.0571
15,19,1,0.4286,0.5429,0.0286
16,19,0,0.4571,0.5429,0.0
