success,failure,stuck,success_percent,failure_percent
0,1,0,0.0,1.0
0,1,1,0.0,1.0
1,1,1,0.5,0.5
2,1,1,0.6667,0.3333
3,1,1,0.75,0.25
3,1,2,0.75,0.25
4,1,2,0.8,0.2
4,2,2,0.6667,0.3333
4,2,3,0.6667,0.3333
5,2,3,0.7143,0.2857
5,2,4,0.7143,0.2857
5,3,4,0.625,0.375
5,3,5,0.625,0.375
5,3,6,0.625,0.375
6,3,6,0.6667,0.3333
6,4,6,0.6,0.4
6,5,6,0.5455,0.4545
6,6,6,0.5,0.5
6,6,7,0.5,0.5
6,7,7,0.4615,0.5385
7,7,7,0.5,0.5
7,7,8,0.5,0.5
7,7,9,0.5,0.5
7,7,10,0.5,0.5
8,7,10,0.5333,0.4667
8,7,11,0.5333,0.4667
8,8,11,0.5,0.5
8,9,11,0.4706,0.5294
9,9,11,0.5,0.5
9,9,12,0.5,0.5
10,9,12,0.5263,0.4737
10,9,13,0.5263,0.4737
10,9,14,0.5263,0.4737
10,10,14,0.5,0.5
10,11,14,0.4762,0.5238
10,11,15,0.4762,0.5238
11,11,15,0.5,0.5
12,11,15,0.5217,0.4783
12,11,16,0.5217,0.4783
12,11,17,0.5217,0.4783
12,11,18,0.5217,0.4783
13,11,18,0.5417,0.4583
13,12,18,0.52,0.48
13,13,18,0.5,0.5
14,13,18,0.5185,0.4815
14,14,18,0.5,0.5
14,14,19,0.5,0.5
15,14,19,0.5172,0.4828
15,15,19,0.5,0.5
15,15,20,0.5,0.5
15,15,21,0.5,0.5
15,16,21,0.4839,0.5161
15,17,21,0.4688,0.5312
16,17,21,0.4848,0.5152
16,17,22,0.4848,0.5152
17,17,22,0.5,0.5
18,17,22,0.5143,0.4857
18,17,23,0.5143,0.4857
19,17,23,0.5278,0.4722
19,18,23,0.5135,0.4865
19,18,24,0.5135,0.4865
20,18,24,0.5263,0.4737
20,18,25,0.5263,0.4737
20,19,25,0.5128,0.4872
20,20,25,0.5,0.5
20,20,26,0.5,0.5
20,20,27,0.5,0.5
20,20,28,0.5,0.5
21,20,28,0.5122,0.4878
21,20,29,0.5122,0.4878
21,20,30,0.5122,0.4878
21,20,31,0.5122,0.4878
22,20,31,0.5238,0.4762
22,21,31,0.5116,0.4884
22,21,32,0.5116,0.4884
22,21,33,0.5116,0.4884
22,21,34,0.5116,0.4884
22,21,35,0.5116,0.4884
22,21,36,0.5116,0.4884
22,21,37,0.5116,0.4884
23,21,37,0.5227,0.4773
23,22,37,0.5111,0.4889
23,22,38,0.5111,0.4889
23,22,39,0.5111,0.4889
24,22,39,0.5217,0.4783
24,22,40,0.5217,0.4783
25,22,40,0.5319,0.4681
26,22,40,0.5417,0.4583
26,23,40,0.5306,0.4694
26,23,41,0.5306,0.4694
26,23,42,0.5306,0.4694
26,23,43,0.5306,0.4694
26,23,44,0.5306,0.4694
26,24,44,0.52,0.48
27,24,44,0.5294,0.4706
27,25,44,0.5192,0.4808
27,25,45,0.5192,0.4808
27,25,46,0.5192,0.4808
27,25,47,0.5192,0.4808
28,25,47,0.5283,0.4717
29,25,47,0.537,0.463
29,25,48,0.537,0.463
29,25,49,0.537,0.463
29,26,49,0.5273,0.4727
29,26,50,0.5273,0.4727
29,26,51,0.5273,0.4727
29,26,52,0.5273,0.4727
30,26,52,0.5357,0.4643
30,26,53,0.5357,0.4643
30,26,54,0.5357,0.4643
30,26,55,0.5357,0.4643
30,26,56,0.5357,0.4643
31,26,56,0.5439,0.4561
31,27,56,0.5345,0.4655
31,27,57,0.5345,0.4655
32,27,57,0.5424,0.4576
33,27,57,0.55,0.45
33,28,57,0.541,0.459
33,28,58,0.541,0.459
33,29,58,0.5323,0.4677
33,29,59,0.5323,0.4677
34,29,59,0.5397,0.4603
35,29,59,0.5469,0.4531
35,29,60,0.5469,0.4531
35,29,61,0.5469,0.4531
35,29,62,0.5469,0.4531
35,30,62,0.5385,0.4615
35,30,63,0.5385,0.4615
35,31,63,0.5303,0.4697
36,31,63,0.5373,0.4627
36,31,64,0.5373,0.4627
36,31,65,0.5373,0.4627
37,31,65,0.5441,0.4559
37,31,66,0.5441,0.4559
37,32,66,0.5362,0.4638
37,32,67,0.5362,0.4638
37,32,68,0.5362,0.4638
37,32,69,0.5362,0.4638
37,32,70,0.5362,0.4638
37,32,71,0.5362,0.4638
37,32,72,0.5362,0.4638
37,32,73,0.5362,0.4638
37,33,73,0.5286,0.4714
37,33,74,0.5286,0.4714
37,33,75,0.5286,0.4714
37,33,76,0.5286,0.4714
38,33,76,0.5352,0.4648
38,33,77,0.5352,0.4648
38,33,78,0.5352,0.4648
38,34,78,0.5278,0.4722
38,34,79,0.5278,0.4722
39,34,79,0.5342,0.4658
39,34,80,0.5342,0.4658
39,34,81,0.5342,0.4658
39,35,81,0.527,0.473
39,35,82,0.527,0.473
39,35,83,0.527,0.473
39,35,84,0.527,0.473
39,36,84,0.52,0.48
40,36,84,0.5263,0.4737
40,36,85,0.5263,0.4737
40,37,85,0.5195,0.4805
41,37,85,0.5256,0.4744
41,37,86,0.5256,0.4744
41,37,87,0.5256,0.4744
41,37,88,0.5256,0.4744
41,37,89,0.5256,0.4744
42,37,89,0.5316,0.4684
42,37,90,0.5316,0.4684
42,37,91,0.5316,0.4684
42,38,91,0.525,0.475
42,38,92,0.525,0.475
42,38,93,0.525,0.475
42,38,94,0.525,0.475
43,38,94,0.5309,0.4691
44,38,94,0.5366,0.4634
45,38,94,0.5422,0.4578
45,38,95,0.5422,0.4578
45,39,95,0.5357,0.4643
45,39,96,0.5357,0.4643
46,39,96,0.5412,0.4588
46,39,97,0.5412,0.4588
47,39,97,0.5465,0.4535
47,40,97,0.5402,0.4598
47,40,98,0.5402,0.4598
48,40,98,0.5455,0.4545
48,40,99,0.5455,0.4545
48,40,100,0.5455,0.4545
48,40,101,0.5455,0.4545
49,40,101,0.5506,0.4494
49,40,102,0.5506,0.4494
50,40,102,0.5556,0.4444
50,40,103,0.5556,0.4444
51,40,103,0.5604,0.4396
52,40,103,0.5652,0.4348
52,40,104,0.5652,0.4348
53,40,104,0.5699,0.4301
53,41,104,0.5638,0.4362
53,41,105,0.5638,0.4362
53,42,105,0.5579,0.4421
53,42,106,0.5579,0.4421
53,42,107,0.5579,0.4421
53,42,108,0.5579,0.4421
53,42,109,0.5579,0.4421
53,42,110,0.5579,0.4421
54,42,110,0.5625,0.4375
54,43,110,0.5567,0.4433
54,43,111,0.5567,0.4433
55,43,111,0.5612,0.4388
55,43,112,0.5612,0.4388
56,43,112,0.5657,0.4343
56,44,112,0.56,0.44
56,44,113,0.56,0.44
56,45,113,0.5545,0.4455
56,45,114,0.5545,0.4455
56,45,115,0.5545,0.4455
56,45,116,0.5545,0.4455
56,45,117,0.5545,0.4455
56,45,118,0.5545,0.4455
56,45,119,0.5545,0.4455
57,45,119,0.5588,0.4412
57,45,120,0.5588,0.4412
57,45,121,0.5588,0.4412
57,45,122,0.5588,0.4412
57,45,123,0.5588,0.4412
57,45,124,0.5588,0.4412
58,45,124,0.5631,0.4369
58,45,125,0.5631,0.4369
58,45,126,0.5631,0.4369
58,45,127,0.5631,0.4369
58,45,128,0.5631,0.4369
58,46,128,0.5577,0.4423
58,46,129,0.5577,0.4423
58,46,130,0.5577,0.4423
58,46,131,0.5577,0.4423
58,46,132,0.5577,0.4423
58,46,133,0.5577,0.4423
58,46,134,0.5577,0.4423
58,46,135,0.5577,0.4423
58,46,136,0.5577,0.4423
58,46,137,0.5577,0.4423
58,47,137,0.5524,0.4476
58,47,138,0.5524,0.4476
58,47,139,0.5524,0.4476
58,47,140,0.5524,0.4476
59,47,140,0.5566,0.4434
59,48,140,0.5514,0.4486
59,49,140,0.5463,0.4537
59,50,140,0.5413,0.4587
59,51,140,0.5364,0.4636
59,51,141,0.5364,0.4636
59,51,142,0.5364,0.4636
59,52,142,0.5315,0.4685
59,52,143,0.5315,0.4685
59,52,144,0.5315,0.4685
59,52,145,0.5315,0.4685
59,52,146,0.5315,0.4685
59,52,147,0.5315,0.4685
59,52,148,0.5315,0.4685
59,52,149,0.5315,0.4685
59,52,150,0.5315,0.4685
60,52,150,0.5357,0.4643
60,52,151,0.5357,0.4643
60,52,152,0.5357,0.4643
60,52,153,0.5357,0.4643
60,53,153,0.531,0.469
60,53,154,0.531,0.469
61,53,154,0.5351,0.4649
61,53,155,0.5351,0.4649
61,53,156,0.5351,0.4649
61,54,156,0.5304,0.4696
61,54,157,0.5304,0.4696
61,54,158,0.5304,0.4696
61,54,159,0.5304,0.4696
61,54,160,0.5304,0.4696
61,54,161,0.5304,0.4696
61,54,162,0.5304,0.4696
61,54,163,0.5304,0.4696
61,54,164,0.5304,0.4696
61,54,165,0.5304,0.4696
61,54,166,0.5304,0.4696
61,54,167,0.5304,0.4696
61,54,168,0.5304,0.4696
61,54,169,0.5304,0.4696
61,54,170,0.5304,0.4696
61,54,171,0.5304,0.4696
61,54,172,0.5304,0.4696
61,54,173,0.5304,0.4696
61,54,174,0.5304,0.4696
61,54,175,0.5304,0.4696
61,54,176,0.5304,0.4696
61,54,177,0.5304,0.4696
61,54,178,0.5304,0.4696
61,54,179,0.5304,0.4696
61,54,180,0.5304,0.4696
61,54,181,0.5304,0.4696
61,54,182,0.5304,0.4696
61,54,183,0.5304,0.4696
61,54,184,0.5304,0.4696
61,54,185,0.5304,0.4696
61,54,186,0.5304,0.4696
61,54,187,0.5304,0.4696
61,54,188,0.5304,0.4696
61,54,189,0.5304,0.4696
61,55,189,0.5259,0.4741
61,56,189,0.5214,0.4786
61,56,190,0.5214,0.4786
61,56,191,0.5214,0.4786
61,56,192,0.5214,0.4786
61,56,193,0.5214,0.4786
61,56,194,0.5214,0.4786
61,56,195,0.5214,0.4786
61,57,195,0.5169,0.4831
61,57,196,0.5169,0.4831
61,58,196,0.5126,0.4874
61,58,197,0.5126,0.4874
61,58,198,0.5126,0.4874
61,58,199,0.5126,0.4874
61,58,200,0.5126,0.4874
61,58,201,0.5126,0.4874
61,58,202,0.5126,0.4874
61,58,203,0.5126,0.4874
61,58,204,0.5126,0.4874
62,58,204,0.5167,0.4833
62,58,205,0.5167,0.4833
62,58,206,0.5167,0.4833
62,58,207,0.5167,0.4833
