success,failure,stuck,success_percent,failure_percent,stuck_percent
1,0,0,1.0,0.0,0.0
1,0,1,0.5,0.0,0.5
1,0,2,0.3333,0.0,0.6667
1,0,3,0.25,0.0,0.75
2,0,3,0.4,0.0,0.6
2,1,3,0.3333,0.1667,0.5
2,1,4,0.2857,0.1429,0.5714
3,1,4,0.375,0.125,0.5
3,1,5,0.3333,0.1111,0.5556
4,1,5,0.4,0.1,0.5
5,1,5,0.4545,0.0909,0.4545
5,2,5,0.4167,0.1667,0.4167
5,3,5,0.3846,0.2308,0.3846
5,3,6,0.3571,0.2143,0.4286
5,3,7,0.3333,0.2,0.4667
5,3,8,0.3125,0.1875,0.5
5,4,8,0.2941,0.2353,0.4706
5,4,9,0.2778,0.2222,0.5
6,4,9,0.3158,0.2105,0.4737
7,4,9,0.35,0.2,0.45
7,4,10,0.3333,0.1905,0.4762
8,4,10,0.3636,0.1818,0.4545
9,4,10,0.3913,0.1739,0.4348
10,4,10,0.4167,0.1667,0.4167
11,4,10,0.44,0.16,0.4
12,4,10,0.4615,0.1538,0.3846
12,4,11,0.4444,0.1481,0.4074
13,4,11,0.4643,0.1429,0.3929
13,4,12,0.4483,0.1379,0.4138
13,4,13,0.4333,0.1333,0.4333
13,4,14,0.4194,0.129,0.4516
14,4,14,0.4375,0.125,0.4375
14,4,15,0.4242,0.1212,0.4545
15,4,15,0.4412,0.1176,0.4412
16,4,15,0.4571,0.1143,0.4286
16,4,16,0.4444,0.1111,0.4444
16,4,17,0.4324,0.1081,0.4595
16,4,18,0.4211,0.1053,0.4737
16,4,19,0.4103,0.1026,0.4872
16,4,20,0.4,0.1,0.5
16,4,21,0.3902,0.0976,0.5122
16,4,22,0.381,0.0952,0.5238
16,5,22,0.3721,0.1163,0.5116
17,5,22,0.3864,0.1136,0.5
18,5,22,0.4,0.1111,0.4889
18,6,22,0.3913,0.1304,0.4783
18,7,22,0.383,0.1489,0.4681
18,8,22,0.375,0.1667,0.4583
19,8,22,0.3878,0.1633,0.449
19,8,23,0.38,0.16,0.46
19,8,24,0.3725,0.1569,0.4706
19,8,25,0.3654,0.1538,0.4808
19,9,25,0.3585,0.1698,0.4717
19,10,25,0.3519,0.1852,0.463
19,11,25,0.3455,0.2,0.4545
19,11,26,0.3393,0.1964,0.4643
19,11,27,0.3333,0.193,0.4737
19,12,27,0.3276,0.2069,0.4655
19,13,27,0.322,0.2203,0.4576
19,14,27,0.3167,0.2333,0.45
20,14,27,0.3279,0.2295,0.4426
20,15,27,0.3226,0.2419,0.4355
20,15,28,0.3175,0.2381,0.4444
20,16,28,0.3125,0.25,0.4375
21,16,28,0.3231,0.2462,0.4308
21,17,28,0.3182,0.2576,0.4242
21,17,29,0.3134,0.2537,0.4328
22,17,29,0.3235,0.25,0.4265
22,18,29,0.3188,0.2609,0.4203
23,18,29,0.3286,0.2571,0.4143
24,18,29,0.338,0.2535,0.4085
24,18,30,0.3333,0.25,0.4167
24,18,31,0.3288,0.2466,0.4247
24,18,32,0.3243,0.2432,0.4324
24,18,33,0.32,0.24,0.44
24,19,33,0.3158,0.25,0.4342
24,20,33,0.3117,0.2597,0.4286
24,21,33,0.3077,0.2692,0.4231
24,21,34,0.3038,0.2658,0.4304
24,22,34,0.3,0.275,0.425
24,23,34,0.2963,0.284,0.4198
25,23,34,0.3049,0.2805,0.4146
25,23,35,0.3012,0.2771,0.4217
25,24,35,0.2976,0.2857,0.4167
25,25,35,0.2941,0.2941,0.4118
26,25,35,0.3023,0.2907,0.407
26,26,35,0.2989,0.2989,0.4023
26,26,36,0.2955,0.2955,0.4091
26,27,36,0.2921,0.3034,0.4045
26,28,36,0.2889,0.3111,0.4
27,28,36,0.2967,0.3077,0.3956
27,28,37,0.2935,0.3043,0.4022
27,28,38,0.2903,0.3011,0.4086
27,29,38,0.2872,0.3085,0.4043
27,29,39,0.2842,0.3053,0.4105
27,29,40,0.2812,0.3021,0.4167
28,29,40,0.2887,0.299,0.4124
29,29,40,0.2959,0.2959,0.4082
29,30,40,0.2929,0.303,0.404
30,30,40,0.3,0.3,0.4
30,30,41,0.297,0.297,0.4059
31,30,41,0.3039,0.2941,0.402
31,30,42,0.301,0.2913,0.4078
31,30,43,0.2981,0.2885,0.4135
31,30,44,0.2952,0.2857,0.419
31,30,45,0.2925,0.283,0.4245
31,30,46,0.2897,0.2804,0.4299
31,30,47,0.287,0.2778,0.4352
31,31,47,0.2844,0.2844,0.4312
31,31,48,0.2818,0.2818,0.4364
31,31,49,0.2793,0.2793,0.4414
31,32,49,0.2768,0.2857,0.4375
31,32,50,0.2743,0.2832,0.4425
31,32,51,0.2719,0.2807,0.4474
31,32,52,0.2696,0.2783,0.4522
31,32,53,0.2672,0.2759,0.4569
31,32,54,0.265,0.2735,0.4615
31,32,55,0.2627,0.2712,0.4661
31,32,56,0.2605,0.2689,0.4706
31,32,57,0.2583,0.2667,0.475
31,32,58,0.2562,0.2645,0.4793
31,32,59,0.2541,0.2623,0.4836
31,33,59,0.252,0.2683,0.4797
31,33,60,0.25,0.2661,0.4839
32,33,60,0.256,0.264,0.48
32,33,61,0.254,0.2619,0.4841
32,33,62,0.252,0.2598,0.4882
32,33,63,0.25,0.2578,0.4922
32,33,64,0.2481,0.2558,0.4961
32,33,65,0.2462,0.2538,0.5
32,33,66,0.2443,0.2519,0.5038
32,33,67,0.2424,0.25,0.5076
32,33,68,0.2406,0.2481,0.5113
32,34,68,0.2388,0.2537,0.5075
32,34,69,0.237,0.2519,0.5111
32,34,70,0.2353,0.25,0.5147
32,34,71,0.2336,0.2482,0.5182
32,34,72,0.2319,0.2464,0.5217
32,35,72,0.2302,0.2518,0.518
32,35,73,0.2286,0.25,0.5214
33,35,73,0.234,0.2482,0.5177
33,35,74,0.2324,0.2465,0.5211
33,35,75,0.2308,0.2448,0.5245
34,35,75,0.2361,0.2431,0.5208
34,36,75,0.2345,0.2483,0.5172
34,37,75,0.2329,0.2534,0.5137
34,37,76,0.2313,0.2517,0.517
34,38,76,0.2297,0.2568,0.5135
35,38,76,0.2349,0.255,0.5101
35,38,77,0.2333,0.2533,0.5133
35,38,78,0.2318,0.2517,0.5166
35,39,78,0.2303,0.2566,0.5132
35,39,79,0.2288,0.2549,0.5163
35,39,80,0.2273,0.2532,0.5195
35,40,80,0.2258,0.2581,0.5161
35,40,81,0.2244,0.2564,0.5192
36,40,81,0.2293,0.2548,0.5159
36,40,82,0.2278,0.2532,0.519
