success,failure,stuck,success_percent,failure_percent
0,0,1,0.0,1.0
0,0,2,0.0,1.0
0,0,3,0.0,1.0
1,0,3,0.25,0.75
2,0,3,0.4,0.6
2,0,4,0.3333,0.6667
2,1,4,0.2857,0.7143
2,1,5,0.25,0.75
3,1,5,0.3333,0.6667
4,1,5,0.4,0.6
4,2,5,0.3636,0.6364
4,2,6,0.3333,0.6667
4,2,7,0.3077,0.6923
5,2,7,0.3571,0.6429
5,2,8,0.3333,0.6667
5,2,9,0.3125,0.6875
6,2,9,0.3529,0.6471
7,2,9,0.3889,0.6111
7,2,10,0.3684,0.6316
7,3,10,0.35,0.65
8,3,10,0.381,0.619
9,3,10,0.4091,0.5909
9,4,10,0.3913,0.6087
9,5,10,0.375,0.625
10,5,10,0.4,0.6
10,5,11,0.3846,0.6154
10,6,11,0.3704,0.6296
10,6,12,0.3571,0.6429
10,6,13,0.3448,0.6552
10,7,13,0.3333,0.6667
11,7,13,0.3548,0.6452
11,7,14,0.3438,0.6562
12,7,14,0.3636,0.6364
13,7,14,0.3824,0.6176
13,7,15,0.3714,0.6286
13,7,16,0.3611,0.6389
13,7,17,0.3514,0.6486
13,7,18,0.3421,0.6579
13,7,19,0.3333,0.6667
14,7,19,0.35,0.65
14,7,20,0.3415,0.6585
14,7,21,0.3333,0.6667
14,7,22,0.3256,0.6744
14,8,22,0.3182,0.6818
15,8,22,0.3333,0.6667
15,9,22,0.3261,0.6739
15,9,23,0.3191,0.6809
15,9,24,0.3125,0.6875
15,10,24,0.3061,0.6939
15,10,25,0.3,0.7
15,10,26,0.2941,0.7059
15,10,27,0.2885,0.7115
15,10,28,0.283,0.717
15,10,29,0.2778,0.7222
16,10,29,0.2909,0.7091
16,10,30,0.2857,0.7143
16,10,31,0.2807,0.7193
16,11,31,0.2759,0.7241
16,11,32,0.2712,0.7288
16,11,33,0.2667,0.7333
16,11,34,0.2623,0.7377
16,12,34,0.2581,0.7419
16,12,35,0.254,0.746
16,13,35,0.25,0.75
16,14,35,0.2462,0.7538
16,14,36,0.2424,0.7576
16,14,37,0.2388,0.7612
16,14,38,0.2353,0.7647
17,14,38,0.2464,0.7536
17,14,39,0.2429,0.7571
18,14,39,0.2535,0.7465
18,14,40,0.25,0.75
19,14,40,0.2603,0.7397
20,14,40,0.2703,0.7297
20,14,41,0.2667,0.7333
20,14,42,0.2632,0.7368
20,14,43,0.2597,0.7403
20,14,44,0.2564,0.7436
20,14,45,0.2532,0.7468
20,14,46,0.25,0.75
20,15,46,0.2469,0.7531
20,16,46,0.2439,0.7561
20,17,46,0.241,0.759
20,17,47,0.2381,0.7619
20,17,48,0.2353,0.7647
20,18,48,0.2326,0.7674
20,18,49,0.2299,0.7701
20,18,50,0.2273,0.7727
20,19,50,0.2247,0.7753
20,19,51,0.2222,0.7778
20,20,51,0.2198,0.7802
20,20,52,0.2174,0.7826
21,20,52,0.2258,0.7742
21,20,53,0.2234,0.7766
21,20,54,0.2211,0.7789
21,20,55,0.2188,0.7812
21,20,56,0.2165,0.7835
21,20,57,0.2143,0.7857
21,20,58,0.2121,0.7879
21,20,59,0.21,0.79
21,20,60,0.2079,0.7921
21,21,60,0.2059,0.7941
21,21,61,0.2039,0.7961
22,21,61,0.2115,0.7885
23,21,61,0.219,0.781
23,21,62,0.217,0.783
24,21,62,0.2243,0.7757
24,21,63,0.2222,0.7778
24,21,64,0.2202,0.7798
25,21,64,0.2273,0.7727
25,21,65,0.2252,0.7748
25,21,66,0.2232,0.7768
26,21,66,0.2301,0.7699
26,21,67,0.2281,0.7719
27,21,67,0.2348,0.7652
27,21,68,0.2328,0.7672
27,21,69,0.2308,0.7692
27,21,70,0.2288,0.7712
27,21,71,0.2269,0.7731
28,21,71,0.2333,0.7667
28,21,72,0.2314,0.7686
28,21,73,0.2295,0.7705
28,21,74,0.2276,0.7724
28,21,75,0.2258,0.7742
28,21,76,0.224,0.776
28,21,77,0.2222,0.7778
28,21,78,0.2205,0.7795
28,21,79,0.2188,0.7812
28,21,80,0.2171,0.7829
28,21,81,0.2154,0.7846
28,21,82,0.2137,0.7863
28,21,83,0.2121,0.7879
28,21,84,0.2105,0.7895
28,21,85,0.209,0.791
28,21,86,0.2074,0.7926
28,21,87,0.2059,0.7941
28,21,88,0.2044,0.7956
28,21,89,0.2029,0.7971
29,21,89,0.2086,0.7914
30,21,89,0.2143,0.7857
30,22,89,0.2128,0.7872
31,22,89,0.2183,0.7817
31,22,90,0.2168,0.7832
31,22,91,0.2153,0.7847
31,22,92,0.2138,0.7862
31,22,93,0.2123,0.7877
31,22,94,0.2109,0.7891
31,23,94,0.2095,0.7905
31,23,95,0.2081,0.7919
31,23,96,0.2067,0.7933
31,23,97,0.2053,0.7947
31,23,98,0.2039,0.7961
31,23,99,0.2026,0.7974
32,23,99,0.2078,0.7922
32,23,100,0.2065,0.7935
32,23,101,0.2051,0.7949
32,23,102,0.2038,0.7962
32,23,103,0.2025,0.7975
32,23,104,0.2013,0.7987
32,23,105,0.2,0.8
33,23,105,0.205,0.795
33,23,106,0.2037,0.7963
33,23,107,0.2025,0.7975
33,23,108,0.2012,0.7988
33,24,108,0.2,0.8
33,24,109,0.1988,0.8012
33,24,110,0.1976,0.8024
33,24,111,0.1964,0.8036
33,24,112,0.1953,0.8047
33,24,113,0.1941,0.8059
33,24,114,0.193,0.807
33,24,115,0.1919,0.8081
33,25,115,0.1908,0.8092
33,25,116,0.1897,0.8103
33,26,116,0.1886,0.8114
34,26,116,0.1932,0.8068
34,26,117,0.1921,0.8079
34,26,118,0.191,0.809
34,26,119,0.1899,0.8101
34,26,120,0.1889,0.8111
35,26,120,0.1934,0.8066
35,26,121,0.1923,0.8077
35,26,122,0.1913,0.8087
35,26,123,0.1902,0.8098
35,26,124,0.1892,0.8108
36,26,124,0.1935,0.8065
36,27,124,0.1925,0.8075
36,27,125,0.1915,0.8085
36,27,126,0.1905,0.8095
36,27,127,0.1895,0.8105
37,27,127,0.1937,0.8063
37,27,128,0.1927,0.8073
38,27,128,0.1969,0.8031
38,27,129,0.1959,0.8041
39,27,129,0.2,0.8
39,27,130,0.199,0.801
39,28,130,0.198,0.802
39,28,131,0.197,0.803
40,28,131,0.201,0.799
40,29,131,0.2,0.8
40,29,132,0.199,0.801
40,29,133,0.198,0.802
41,29,133,0.202,0.798
41,29,134,0.201,0.799
41,30,134,0.2,0.8
41,30,135,0.199,0.801
41,31,135,0.1981,0.8019
41,31,136,0.1971,0.8029
41,31,137,0.1962,0.8038
42,31,137,0.2,0.8
42,31,138,0.1991,0.8009
42,31,139,0.1981,0.8019
42,32,139,0.1972,0.8028
43,32,139,0.2009,0.7991
43,33,139,0.2,0.8
43,33,140,0.1991,0.8009
43,33,141,0.1982,0.8018
43,34,141,0.1972,0.8028
43,34,142,0.1963,0.8037
43,34,143,0.1955,0.8045
43,34,144,0.1946,0.8054
43,34,145,0.1937,0.8063
43,34,146,0.1928,0.8072
43,34,147,0.192,0.808
43,34,148,0.1911,0.8089
43,34,149,0.1903,0.8097
44,34,149,0.1938,0.8062
44,34,150,0.193,0.807
44,34,151,0.1921,0.8079
44,34,152,0.1913,0.8087
44,34,153,0.1905,0.8095
44,34,154,0.1897,0.8103
44,34,155,0.1888,0.8112
44,34,156,0.188,0.812
