success,failure,stuck,success_percent,failure_percent,stuck_percent
0,0,1,0.0,0.0,1.0
0,0,2,0.0,0.0,1.0
0,0,3,0.0,0.0,1.0
1,0,3,0.25,0.0,0.75
2,0,3,0.4,0.0,0.6
2,0,4,0.3333,0.0,0.6667
2,1,4,0.2857,0.1429,0.5714
2,1,5,0.25,0.125,0.625
3,1,5,0.3333,0.1111,0.5556
4,1,5,0.4,0.1,0.5
4,2,5,0.3636,0.1818,0.4545
4,2,6,0.3333,0.1667,0.5
4,2,7,0.3077,0.1538,0.5385
5,2,7,0.3571,0.1429,0.5
5,2,8,0.3333,0.1333,0.5333
5,2,9,0.3125,0.125,0.5625
6,2,9,0.3529,0.1176,0.5294
7,2,9,0.3889,0.1111,0.5
7,2,10,0.3684,0.1053,0.5263
7,3,10,0.35,0.15,0.5
8,3,10,0.381,0.1429,0.4762
9,3,10,0.4091,0.1364,0.4545
9,4,10,0.3913,0.1739,0.4348
9,5,10,0.375,0.2083,0.4167
10,5,10,0.4,0.2,0.4
10,5,11,0.3846,0.1923,0.4231
10,6,11,0.3704,0.2222,0.4074
10,6,12,0.3571,0.2143,0.4286
10,6,13,0.3448,0.2069,0.4483
10,7,13,0.3333,0.2333,0.4333
11,7,13,0.3548,0.2258,0.4194
11,7,14,0.3438,0.2188,0.4375
12,7,14,0.3636,0.2121,0.4242
13,7,14,0.3824,0.2059,0.4118
13,7,15,0.3714,0.2,0.4286
13,7,16,0.3611,0.1944,0.4444
13,7,17,0.3514,0.1892,0.4595
13,7,18,0.3421,0.1842,0.4737
13,7,19,0.3333,0.1795,0.4872
14,7,19,0.35,0.175,0.475
14,7,20,0.3415,0.1707,0.4878
14,7,21,0.3333,0.1667,0.5
14,7,22,0.3256,0.1628,0.5116
14,8,22,0.3182,0.1818,0.5
15,8,22,0.3333,0.1778,0.4889
15,9,22,0.3261,0.1957,0.4783
15,9,23,0.3191,0.1915,0.4894
15,9,24,0.3125,0.1875,0.5
15,10,24,0.3061,0.2041,0.4898
15,10,25,0.3,0.2,0.5
15,10,26,0.2941,0.1961,0.5098
15,10,27,0.2885,0.1923,0.5192
15,10,28,0.283,0.1887,0.5283
15,10,29,0.2778,0.1852,0.537
16,10,29,0.2909,0.1818,0.5273
16,10,30,0.2857,0.1786,0.5357
16,10,31,0.2807,0.1754,0.5439
16,11,31,0.2759,0.1897,0.5345
16,11,32,0.2712,0.1864,0.5424
16,11,33,0.2667,0.1833,0.55
16,11,34,0.2623,0.1803,0.5574
