success,failure,stuck,success_percent,failure_percent
1,0,0,1.0,0.0
1,0,1,0.5,0.5
1,0,2,0.3333,0.6667
2,0,2,0.5,0.5
2,0,3,0.4,0.6
3,0,3,0.5,0.5
3,1,3,0.4286,0.5714
3,2,3,0.375,0.625
3,3,3,0.3333,0.6667
4,3,3,0.4,0.6
5,3,3,0.4545,0.5455
5,4,3,0.4167,0.5833
5,5,3,0.3846,0.6154
5,5,4,0.3571,0.6429
6,5,4,0.4,0.6
7,5,4,0.4375,0.5625
7,5,5,0.4118,0.5882
7,6,5,0.3889,0.6111
8,6,5,0.4211,0.5789
8,6,6,0.4,0.6
8,7,6,0.381,0.619
9,7,6,0.4091,0.5909
9,7,7,0.3913,0.6087
10,7,7,0.4167,0.5833
10,7,8,0.4,0.6
10,8,8,0.3846,0.6154
10,8,9,0.3704,0.6296
10,9,9,0.3571,0.6429
10,9,10,0.3448,0.6552
11,9,10,0.3667,0.6333
11,10,10,0.3548,0.6452
11,11,10,0.3438,0.6562
11,11,11,0.3333,0.6667
11,11,12,0.3235,0.6765
11,11,13,0.3143,0.6857
11,11,14,0.3056,0.6944
11,11,15,0.2973,0.7027
11,12,15,0.2895,0.7105
11,13,15,0.2821,0.7179
11,14,15,0.275,0.725
12,14,15,0.2927,0.7073
12,15,15,0.2857,0.7143
12,16,15,0.2791,0.7209
13,16,15,0.2955,0.7045
13,16,16,0.2889,0.7111
13,16,17,0.2826,0.7174
13,17,17,0.2766,0.7234
13,17,18,0.2708,0.7292
13,18,18,0.2653,0.7347
13,18,19,0.26,0.74
14,18,19,0.2745,0.7255
14,19,19,0.2692,0.7308
14,19,20,0.2642,0.7358
14,19,21,0.2593,0.7407
15,19,21,0.2727,0.7273
16,19,21,0.2857,0.7143
16,19,22,0.2807,0.7193
16,19,23,0.2759,0.7241
17,19,23,0.2881,0.7119
17,19,24,0.2833,0.7167
17,19,25,0.2787,0.7213
17,19,26,0.2742,0.7258
17,19,27,0.2698,0.7302
17,19,28,0.2656,0.7344
17,19,29,0.2615,0.7385
17,19,30,0.2576,0.7424
17,19,31,0.2537,0.7463
17,19,32,0.25,0.75
17,19,33,0.2464,0.7536
17,19,34,0.2429,0.7571
17,19,35,0.2394,0.7606
17,19,36,0.2361,0.7639
17,19,37,0.2329,0.7671
18,19,37,0.2432,0.7568
18,20,37,0.24,0.76
19,20,37,0.25,0.75
20,20,37,0.2597,0.7403
20,20,38,0.2564,0.7436
21,20,38,0.2658,0.7342
21,20,39,0.2625,0.7375
22,20,39,0.2716,0.7284
22,20,40,0.2683,0.7317
22,20,41,0.2651,0.7349
22,20,42,0.2619,0.7381
22,20,43,0.2588,0.7412
22,21,43,0.2558,0.7442
22,21,44,0.2529,0.7471
23,21,44,0.2614,0.7386
23,21,45,0.2584,0.7416
23,22,45,0.2556,0.7444
23,22,46,0.2527,0.7473
23,22,47,0.25,0.75
23,22,48,0.2473,0.7527
24,22,48,0.2553,0.7447
25,22,48,0.2632,0.7368
25,22,49,0.2604,0.7396
25,22,50,0.2577,0.7423
26,22,50,0.2653,0.7347
27,22,50,0.2727,0.7273
27,23,50,0.27,0.73
27,23,51,0.2673,0.7327
28,23,51,0.2745,0.7255
28,24,51,0.2718,0.7282
29,24,51,0.2788,0.7212
29,25,51,0.2762,0.7238
29,25,52,0.2736,0.7264
29,26,52,0.271,0.729
29,27,52,0.2685,0.7315
29,28,52,0.2661,0.7339
29,28,53,0.2636,0.7364
30,28,53,0.2703,0.7297
31,28,53,0.2768,0.7232
32,28,53,0.2832,0.7168
33,28,53,0.2895,0.7105
33,28,54,0.287,0.713
33,29,54,0.2845,0.7155
33,29,55,0.2821,0.7179
33,29,56,0.2797,0.7203
33,29,57,0.2773,0.7227
33,29,58,0.275,0.725
34,29,58,0.281,0.719
35,29,58,0.2869,0.7131
35,29,59,0.2846,0.7154
36,29,59,0.2903,0.7097
