success,failure,stuck,success_percent,failure_percent,stuck_percent
1,0,0,1.0,0.0,0.0
1,0,1,0.5,0.0,0.5
1,0,2,0.3333,0.0,0.6667
2,0,2,0.5,0.0,0.5
2,0,3,0.4,0.0,0.6
3,0,3,0.5,0.0,0.5
3,1,3,0.4286,0.1429,0.4286
3,2,3,0.375,0.25,0.375
3,3,3,0.3333,0.3333,0.3333
4,3,3,0.4,0.3,0.3
5,3,3,0.4545,0.2727,0.2727
5,4,3,0.4167,0.3333,0.25
5,5,3,0.3846,0.3846,0.2308
5,5,4,0.3571,0.3571,0.2857
6,5,4,0.4,0.3333,0.2667
7,5,4,0.4375,0.3125,0.25
7,5,5,0.4118,0.2941,0.2941
7,6,5,0.3889,0.3333,0.2778
8,6,5,0.4211,0.3158,0.2632
8,6,6,0.4,0.3,0.3
8,7,6,0.381,0.3333,0.2857
9,7,6,0.4091,0.3182,0.2727
9,7,7,0.3913,0.3043,0.3043
10,7,7,0.4167,0.2917,0.2917
10,7,8,0.4,0.28,0.32
10,8,8,0.3846,0.3077,0.3077
10,8,9,0.3704,0.2963,0.3333
10,9,9,0.3571,0.3214,0.3214
10,9,10,0.3448,0.3103,0.3448
11,9,10,0.3667,0.3,0.3333
11,10,10,0.3548,0.3226,0.3226
11,11,10,0.3438,0.3438,0.3125
11,11,11,0.3333,0.3333,0.3333
11,11,12,0.3235,0.3235,0.3529
11,11,13,0.3143,0.3143,0.3714
11,11,14,0.3056,0.3056,0.3889
11,11,15,0.2973,0.2973,0.4054
11,12,15,0.2895,0.3158,0.3947
11,13,15,0.2821,0.3333,0.3846
11,14,15,0.275,0.35,0.375
12,14,15,0.2927,0.3415,0.3659
12,15,15,0.2857,0.3571,0.3571
12,16,15,0.2791,0.3721,0.3488
13,16,15,0.2955,0.3636,0.3409
13,16,16,0.2889,0.3556,0.3556
13,16,17,0.2826,0.3478,0.3696
13,17,17,0.2766,0.3617,0.3617
13,17,18,0.2708,0.3542,0.375
13,18,18,0.2653,0.3673,0.3673
13,18,19,0.26,0.36,0.38
14,18,19,0.2745,0.3529,0.3725
14,19,19,0.2692,0.3654,0.3654
14,19,20,0.2642,0.3585,0.3774
14,19,21,0.2593,0.3519,0.3889
15,19,21,0.2727,0.3455,0.3818
16,19,21,0.2857,0.3393,0.375
16,19,22,0.2807,0.3333,0.386
16,19,23,0.2759,0.3276,0.3966
17,19,23,0.2881,0.322,0.3898
17,19,24,0.2833,0.3167,0.4
17,19,25,0.2787,0.3115,0.4098
17,19,26,0.2742,0.3065,0.4194
17,19,27,0.2698,0.3016,0.4286
17,19,28,0.2656,0.2969,0.4375
17,19,29,0.2615,0.2923,0.4462
17,19,30,0.2576,0.2879,0.4545
17,19,31,0.2537,0.2836,0.4627
17,19,32,0.25,0.2794,0.4706
17,19,33,0.2464,0.2754,0.4783
17,19,34,0.2429,0.2714,0.4857
17,19,35,0.2394,0.2676,0.493
17,19,36,0.2361,0.2639,0.5
17,19,37,0.2329,0.2603,0.5068
18,19,37,0.2432,0.2568,0.5
18,20,37,0.24,0.2667,0.4933
19,20,37,0.25,0.2632,0.4868
20,20,37,0.2597,0.2597,0.4805
20,20,38,0.2564,0.2564,0.4872
21,20,38,0.2658,0.2532,0.481
21,20,39,0.2625,0.25,0.4875
22,20,39,0.2716,0.2469,0.4815
22,20,40,0.2683,0.2439,0.4878
22,20,41,0.2651,0.241,0.494
22,20,42,0.2619,0.2381,0.5
22,20,43,0.2588,0.2353,0.5059
22,21,43,0.2558,0.2442,0.5
22,21,44,0.2529,0.2414,0.5057
23,21,44,0.2614,0.2386,0.5
23,21,45,0.2584,0.236,0.5056
23,22,45,0.2556,0.2444,0.5
23,22,46,0.2527,0.2418,0.5055
23,22,47,0.25,0.2391,0.5109
23,22,48,0.2473,0.2366,0.5161
24,22,48,0.2553,0.234,0.5106
25,22,48,0.2632,0.2316,0.5053
25,22,49,0.2604,0.2292,0.5104
25,22,50,0.2577,0.2268,0.5155
26,22,50,0.2653,0.2245,0.5102
27,22,50,0.2727,0.2222,0.5051
27,23,50,0.27,0.23,0.5
27,23,51,0.2673,0.2277,0.505
28,23,51,0.2745,0.2255,0.5
28,24,51,0.2718,0.233,0.4951
29,24,51,0.2788,0.2308,0.4904
29,25,51,0.2762,0.2381,0.4857
29,25,52,0.2736,0.2358,0.4906
29,26,52,0.271,0.243,0.486
29,27,52,0.2685,0.25,0.4815
29,28,52,0.2661,0.2569,0.4771
29,28,53,0.2636,0.2545,0.4818
30,28,53,0.2703,0.2523,0.4775
31,28,53,0.2768,0.25,0.4732
32,28,53,0.2832,0.2478,0.469
33,28,53,0.2895,0.2456,0.4649
33,28,54,0.287,0.2435,0.4696
33,29,54,0.2845,0.25,0.4655
33,29,55,0.2821,0.2479,0.4701
33,29,56,0.2797,0.2458,0.4746
33,29,57,0.2773,0.2437,0.479
33,29,58,0.275,0.2417,0.4833
34,29,58,0.281,0.2397,0.4793
35,29,58,0.2869,0.2377,0.4754
35,29,59,0.2846,0.2358,0.4797
36,29,59,0.2903,0.2339,0.4758
37,29,59,0.296,0.232,0.472
38,29,59,0.3016,0.2302,0.4683
38,29,60,0.2992,0.2283,0.4724
38,29,61,0.2969,0.2266,0.4766
38,29,62,0.2946,0.2248,0.4806
38,29,63,0.2923,0.2231,0.4846
38,29,64,0.2901,0.2214,0.4885
38,29,65,0.2879,0.2197,0.4924
38,29,66,0.2857,0.218,0.4962
38,29,67,0.2836,0.2164,0.5
38,29,68,0.2815,0.2148,0.5037
38,29,69,0.2794,0.2132,0.5074
39,29,69,0.2847,0.2117,0.5036
39,29,70,0.2826,0.2101,0.5072
40,29,70,0.2878,0.2086,0.5036
40,29,71,0.2857,0.2071,0.5071
41,29,71,0.2908,0.2057,0.5035
42,29,71,0.2958,0.2042,0.5
42,30,71,0.2937,0.2098,0.4965
42,30,72,0.2917,0.2083,0.5
42,31,72,0.2897,0.2138,0.4966
42,31,73,0.2877,0.2123,0.5
42,32,73,0.2857,0.2177,0.4966
42,32,74,0.2838,0.2162,0.5
43,32,74,0.2886,0.2148,0.4966
43,32,75,0.2867,0.2133,0.5
44,32,75,0.2914,0.2119,0.4967
44,33,75,0.2895,0.2171,0.4934
45,33,75,0.2941,0.2157,0.4902
45,33,76,0.2922,0.2143,0.4935
46,33,76,0.2968,0.2129,0.4903
46,33,77,0.2949,0.2115,0.4936
46,33,78,0.293,0.2102,0.4968
46,33,79,0.2911,0.2089,0.5
