success,failure,stuck,success_percent,failure_percent,stuck_percent
0,1,0,0.0,1.0,0.0
0,1,1,0.0,0.5,0.5
0,2,1,0.0,0.6667,0.3333
1,2,1,0.25,0.5,0.25
2,2,1,0.4,0.4,0.2
2,3,1,0.3333,0.5,0.1667
2,3,2,0.2857,0.4286,0.2857
2,3,3,0.25,0.375,0.375
3,3,3,0.3333,0.3333,0.3333
3,4,3,0.3,0.4,0.3
3,4,4,0.2727,0.3636,0.3636
3,4,5,0.25,0.3333,0.4167
3,4,6,0.2308,0.3077,0.4615
3,5,6,0.2143,0.3571,0.4286
4,5,6,0.2667,0.3333,0.4
5,5,6,0.3125,0.3125,0.375
5,5,7,0.2941,0.2941,0.4118
5,6,7,0.2778,0.3333,0.3889
5,6,8,0.2632,0.3158,0.4211
5,6,9,0.25,0.3,0.45
5,6,10,0.2381,0.2857,0.4762
5,7,10,0.2273,0.3182,0.4545
5,8,10,0.2174,0.3478,0.4348
5,8,11,0.2083,0.3333,0.4583
6,8,11,0.24,0.32,0.44
6,9,11,0.2308,0.3462,0.4231
6,9,12,0.2222,0.3333,0.4444
6,10,12,0.2143,0.3571,0.4286
6,10,13,0.2069,0.3448,0.4483
6,10,14,0.2,0.3333,0.4667
6,11,14,0.1935,0.3548,0.4516
7,11,14,0.2188,0.3438,0.4375
7,11,15,0.2121,0.3333,0.4545
7,12,15,0.2059,0.3529,0.4412
7,12,16,0.2,0.3429,0.4571
8,12,16,0.2222,0.3333,0.4444
8,12,17,0.2162,0.3243,0.4595
8,12,18,0.2105,0.3158,0.4737
8,12,19,0.2051,0.3077,0.4872
9,12,19,0.225,0.3,0.475
9,12,20,0.2195,0.2927,0.4878
9,12,21,0.2143,0.2857,0.5
9,12,22,0.2093,0.2791,0.5116
9,12,23,0.2045,0.2727,0.5227
9,13,23,0.2,0.2889,0.5111
9,13,24,0.1957,0.2826,0.5217
9,14,24,0.1915,0.2979,0.5106
10,14,24,0.2083,0.2917,0.5
10,14,25,0.2041,0.2857,0.5102
10,15,25,0.2,0.3,0.5
10,15,26,0.1961,0.2941,0.5098
10,15,27,0.1923,0.2885,0.5192
10,15,28,0.1887,0.283,0.5283
10,15,29,0.1852,0.2778,0.537
10,15,30,0.1818,0.2727,0.5455
10,15,31,0.1786,0.2679,0.5536
10,16,31,0.1754,0.2807,0.5439
10,16,32,0.1724,0.2759,0.5517
10,16,33,0.1695,0.2712,0.5593
10,16,34,0.1667,0.2667,0.5667
10,16,35,0.1639,0.2623,0.5738
10,16,36,0.1613,0.2581,0.5806
11,16,36,0.1746,0.254,0.5714
11,16,37,0.1719,0.25,0.5781
11,16,38,0.1692,0.2462,0.5846
12,16,38,0.1818,0.2424,0.5758
13,16,38,0.194,0.2388,0.5672
13,17,38,0.1912,0.25,0.5588
13,18,38,0.1884,0.2609,0.5507
13,18,39,0.1857,0.2571,0.5571
13,18,40,0.1831,0.2535,0.5634
14,18,40,0.1944,0.25,0.5556
15,18,40,0.2055,0.2466,0.5479
15,18,41,0.2027,0.2432,0.5541
15,18,42,0.2,0.24,0.56
15,18,43,0.1974,0.2368,0.5658
15,18,44,0.1948,0.2338,0.5714
15,18,45,0.1923,0.2308,0.5769
15,18,46,0.1899,0.2278,0.5823
15,19,46,0.1875,0.2375,0.575
15,19,47,0.1852,0.2346,0.5802
16,19,47,0.1951,0.2317,0.5732
16,19,48,0.1928,0.2289,0.5783
16,19,49,0.1905,0.2262,0.5833
17,19,49,0.2,0.2235,0.5765
18,19,49,0.2093,0.2209,0.5698
18,19,50,0.2069,0.2184,0.5747
18,20,50,0.2045,0.2273,0.5682
18,20,51,0.2022,0.2247,0.573
18,20,52,0.2,0.2222,0.5778
19,20,52,0.2088,0.2198,0.5714
19,21,52,0.2065,0.2283,0.5652
19,21,53,0.2043,0.2258,0.5699
20,21,53,0.2128,0.2234,0.5638
20,21,54,0.2105,0.2211,0.5684
20,21,55,0.2083,0.2188,0.5729
20,21,56,0.2062,0.2165,0.5773
20,21,57,0.2041,0.2143,0.5816
20,21,58,0.202,0.2121,0.5859
20,21,59,0.2,0.21,0.59
21,21,59,0.2079,0.2079,0.5842
21,21,60,0.2059,0.2059,0.5882
21,22,60,0.2039,0.2136,0.5825
21,22,61,0.2019,0.2115,0.5865
21,22,62,0.2,0.2095,0.5905
21,23,62,0.1981,0.217,0.5849
21,23,63,0.1963,0.215,0.5888
21,23,64,0.1944,0.213,0.5926
21,23,65,0.1927,0.211,0.5963
22,23,65,0.2,0.2091,0.5909
22,24,65,0.1982,0.2162,0.5856
22,25,65,0.1964,0.2232,0.5804
22,25,66,0.1947,0.2212,0.5841
22,25,67,0.193,0.2193,0.5877
22,25,68,0.1913,0.2174,0.5913
22,25,69,0.1897,0.2155,0.5948
22,25,70,0.188,0.2137,0.5983
22,26,70,0.1864,0.2203,0.5932
22,26,71,0.1849,0.2185,0.5966
22,26,72,0.1833,0.2167,0.6
23,26,72,0.1901,0.2149,0.595
23,26,73,0.1885,0.2131,0.5984
23,26,74,0.187,0.2114,0.6016
23,26,75,0.1855,0.2097,0.6048
23,26,76,0.184,0.208,0.608
23,27,76,0.1825,0.2143,0.6032
23,27,77,0.1811,0.2126,0.6063
23,27,78,0.1797,0.2109,0.6094
23,27,79,0.1783,0.2093,0.6124
23,28,79,0.1769,0.2154,0.6077
24,28,79,0.1832,0.2137,0.6031
25,28,79,0.1894,0.2121,0.5985
26,28,79,0.1955,0.2105,0.594
