success,failure,stuck,success_percent,failure_percent,stuck_percent
1,0,0,1.0,0.0,0.0
1,0,1,0.5,0.0,0.5
2,0,1,0.6667,0.0,0.3333
2,1,0,0.6667,0.3333,0.0
3,1,0,0.75,0.25,0.0
4,1,0,0.8,0.2,0.0
4,1,1,0.6667,0.1667,0.1667
5,1,1,0.7143,0.1429,0.1429
5,1,2,0.625,0.125,0.25
6,1,2,0.6667,0.1111,0.2222
7,1,1,0.7778,0.1111,0.1111
8,1,1,0.8,0.1,0.1
9,1,0,0.9,0.1,0.0
9,1,1,0.8182,0.0909,0.0909
9,1,2,0.75,0.0833,0.1667
9,1,3,0.6923,0.0769,0.2308
9,2,3,0.6429,0.1429,0.2143
9,3,2,0.6429,0.2143,0.1429
9,4,1,0.6429,0.2857,0.0714
9,5,0,0.6429,0.3571,0.0
10,5,0,0.6667,0.3333,0.0
11,5,0,0.6875,0.3125,0.0
12,5,0,0.7059,0.2941,0.0
12,5,1,0.6667,0.2778,0.0556
13,5,1,0.6842,0.2632,0.0526
14,5,0,0.7368,0.2632,0.0
15,5,0,0.75,0.25,0.0
15,5,1,0.7143,0.2381,0.0476
15,6,1,0.6818,0.2727,0.0455
15,6,2,0.6522,0.2609,0.087
15,6,3,0.625,0.25,0.125
15,7,3,0.6,0.28,0.12
16,7,3,0.6154,0.2692,0.1154
16,8,2,0.6154,0.3077,0.0769
16,9,1,0.6154,0.3462,0.0385
16,10,0,0.6154,0.3846,0.0
16,10,1,0.5926,0.3704,0.037
17,10,0,0.6296,0.3704,0.0
18,10,0,0.6429,0.3571,0.0
19,10,0,0.6552,0.3448,0.0
20,10,0,0.6667,0.3333,0.0
20,10,1,0.6452,0.3226,0.0323
21,10,1,0.6562,0.3125,0.0312
21,10,2,0.6364,0.303,0.0606
22,10,1,0.6667,0.303,0.0303
23,10,0,0.697,0.303,0.0
23,10,1,0.6765,0.2941,0.0294
23,10,2,0.6571,0.2857,0.0571
24,10,2,0.6667,0.2778,0.0556
24,10,3,0.6486,0.2703,0.0811
25,10,2,0.6757,0.2703,0.0541
26,10,1,0.7027,0.2703,0.027
27,10,1,0.7105,0.2632,0.0263
28,10,0,0.7368,0.2632,0.0
29,10,0,0.7436,0.2564,0.0
29,10,1,0.725,0.25,0.025
30,10,1,0.7317,0.2439,0.0244
31,10,0,0.7561,0.2439,0.0
31,10,1,0.7381,0.2381,0.0238
31,10,2,0.7209,0.2326,0.0465
31,10,3,0.7045,0.2273,0.0682
31,10,4,0.6889,0.2222,0.0889
31,10,5,0.6739,0.2174,0.1087
31,10,6,0.6596,0.2128,0.1277
31,11,5,0.6596,0.234,0.1064
31,12,4,0.6596,0.2553,0.0851
31,13,3,0.6596,0.2766,0.0638
31,14,2,0.6596,0.2979,0.0426
31,14,3,0.6458,0.2917,0.0625
31,15,3,0.6327,0.3061,0.0612
31,15,4,0.62,0.3,0.08
31,16,3,0.62,0.32,0.06
31,17,2,0.62,0.34,0.04
32,17,1,0.64,0.34,0.02
33,17,0,0.66,0.34,0.0
33,17,1,0.6471,0.3333,0.0196
33,17,2,0.6346,0.3269,0.0385
33,17,3,0.6226,0.3208,0.0566
33,18,2,0.6226,0.3396,0.0377
33,19,1,0.6226,0.3585,0.0189
33,20,0,0.6226,0.3774,0.0
34,20,0,0.6296,0.3704,0.0
34,20,1,0.6182,0.3636,0.0182
35,20,0,0.6364,0.3636,0.0
35,20,1,0.625,0.3571,0.0179
36,20,0,0.6429,0.3571,0.0
37,20,0,0.6491,0.3509,0.0
37,20,1,0.6379,0.3448,0.0172
38,20,0,0.6552,0.3448,0.0
38,20,1,0.6441,0.339,0.0169
38,20,2,0.6333,0.3333,0.0333
39,20,1,0.65,0.3333,0.0167
40,20,0,0.6667,0.3333,0.0
40,20,1,0.6557,0.3279,0.0164
40,20,2,0.6452,0.3226,0.0323
40,20,3,0.6349,0.3175,0.0476
40,21,2,0.6349,0.3333,0.0317
40,22,1,0.6349,0.3492,0.0159
40,22,2,0.625,0.3438,0.0312
40,23,1,0.625,0.3594,0.0156
40,23,2,0.6154,0.3538,0.0308
41,23,1,0.6308,0.3538,0.0154
42,23,0,0.6462,0.3538,0.0
42,23,1,0.6364,0.3485,0.0152
42,23,2,0.6269,0.3433,0.0299
43,23,1,0.6418,0.3433,0.0149
43,23,2,0.6324,0.3382,0.0294
44,23,1,0.6471,0.3382,0.0147
44,23,2,0.6377,0.3333,0.029
44,23,3,0.6286,0.3286,0.0429
45,23,2,0.6429,0.3286,0.0286
45,24,1,0.6429,0.3429,0.0143
46,24,1,0.6479,0.338,0.0141
46,24,2,0.6389,0.3333,0.0278
47,24,1,0.6528,0.3333,0.0139
47,24,2,0.6438,0.3288,0.0274
48,24,1,0.6575,0.3288,0.0137
49,24,1,0.6622,0.3243,0.0135
50,24,1,0.6667,0.32,0.0133
51,24,0,0.68,0.32,0.0
51,24,1,0.6711,0.3158,0.0132
51,24,2,0.6623,0.3117,0.026
52,24,1,0.6753,0.3117,0.013
52,25,0,0.6753,0.3247,0.0
53,25,0,0.6795,0.3205,0.0
53,25,1,0.6709,0.3165,0.0127
54,25,1,0.675,0.3125,0.0125
55,25,0,0.6875,0.3125,0.0
56,25,0,0.6914,0.3086,0.0
56,25,1,0.6829,0.3049,0.0122
56,25,2,0.6747,0.3012,0.0241
56,25,3,0.6667,0.2976,0.0357
57,25,2,0.6786,0.2976,0.0238
57,26,1,0.6786,0.3095,0.0119
57,27,0,0.6786,0.3214,0.0
57,27,1,0.6706,0.3176,0.0118
58,27,0,0.6824,0.3176,0.0
58,27,1,0.6744,0.314,0.0116
58,27,2,0.6667,0.3103,0.023
59,27,1,0.6782,0.3103,0.0115
60,27,1,0.6818,0.3068,0.0114
60,27,2,0.6742,0.3034,0.0225
61,27,1,0.6854,0.3034,0.0112
61,27,2,0.6778,0.3,0.0222
62,27,1,0.6889,0.3,0.0111
62,27,2,0.6813,0.2967,0.022
63,27,1,0.6923,0.2967,0.011
64,27,0,0.7033,0.2967,0.0
64,27,1,0.6957,0.2935,0.0109
64,27,2,0.6882,0.2903,0.0215
64,27,3,0.6809,0.2872,0.0319
64,27,4,0.6737,0.2842,0.0421
64,27,5,0.6667,0.2812,0.0521
64,27,6,0.6598,0.2784,0.0619
64,28,5,0.6598,0.2887,0.0515
64,29,4,0.6598,0.299,0.0412
64,30,3,0.6598,0.3093,0.0309
64,30,4,0.6531,0.3061,0.0408
65,30,3,0.6633,0.3061,0.0306
