success,failure,stuck,success_percent,failure_percent,stuck_percent
1,0,0,1.0,0.0,0.0
1,0,1,0.5,0.0,0.5
2,0,1,0.6667,0.0,0.3333
2,1,0,0.6667,0.3333,0.0
3,1,0,0.75,0.25,0.0
4,1,0,0.8,0.2,0.0
4,1,1,0.6667,0.1667,0.1667
5,1,1,0.7143,0.1429,0.1429
5,1,2,0.625,0.125,0.25
6,1,2,0.6667,0.1111,0.2222
7,1,1,0.7778,0.1111,0.1111
8,1,1,0.8,0.1,0.1
9,1,0,0.9,0.1,0.0
9,1,1,0.8182,0.0909,0.0909
9,1,2,0.75,0.0833,0.1667
9,1,3,0.6923,0.0769,0.2308
9,2,3,0.6429,0.1429,0.2143
9,3,2,0.6429,0.2143,0.1429
9,4,1,0.6429,0.2857,0.0714
9,5,0,0.6429,0.3571,0.0
10,5,0,0.6667,0.3333,0.0
11,5,0,0.6875,0.3125,0.0
12,5,0,0.7059,0.2941,0.0
12,5,1,0.6667,0.2778,0.0556
12,5,2,0.6316,0.2632,0.1053
13,5,1,0.6842,0.2632,0.0526
14,5,0,0.7368,0.2632,0.0
14,5,1,0.7,0.25,0.05
15,5,1,0.7143,0.2381,0.0476
16,5,0,0.7619,0.2381,0.0
16,5,1,0.7273,0.2273,0.0455
16,5,2,0.6957,0.2174,0.087
16,5,3,0.6667,0.2083,0.125
17,5,3,0.68,0.2,0.12
17,5,4,0.6538,0.1923,0.1538
17,6,3,0.6538,0.2308,0.1154
18,6,2,0.6923,0.2308,0.0769
18,7,1,0.6923,0.2692,0.0385
18,8,0,0.6923,0.3077,0.0
18,8,1,0.6667,0.2963,0.037
19,8,0,0.7037,0.2963,0.0
20,8,0,0.7143,0.2857,0.0
21,8,0,0.7241,0.2759,0.0
22,8,0,0.7333,0.2667,0.0
22,8,1,0.7097,0.2581,0.0323
22,9,1,0.6875,0.2812,0.0312
22,9,2,0.6667,0.2727,0.0606
22,9,3,0.6471,0.2647,0.0882
22,10,3,0.6286,0.2857,0.0857
23,10,3,0.6389,0.2778,0.0833
23,10,4,0.6216,0.2703,0.1081
24,10,3,0.6486,0.2703,0.0811
25,10,2,0.6757,0.2703,0.0541
26,10,2,0.6842,0.2632,0.0526
27,10,1,0.7105,0.2632,0.0263
27,11,0,0.7105,0.2895,0.0
28,11,0,0.7179,0.2821,0.0
28,11,1,0.7,0.275,0.025
29,11,1,0.7073,0.2683,0.0244
30,11,0,0.7317,0.2683,0.0
30,11,1,0.7143,0.2619,0.0238
30,11,2,0.6977,0.2558,0.0465
30,11,3,0.6818,0.25,0.0682
30,11,4,0.6667,0.2444,0.0889
30,11,5,0.6522,0.2391,0.1087
30,12,5,0.6383,0.2553,0.1064
30,12,6,0.625,0.25,0.125
30,13,5,0.625,0.2708,0.1042
30,14,4,0.625,0.2917,0.0833
30,15,3,0.625,0.3125,0.0625
30,16,3,0.6122,0.3265,0.0612
30,16,4,0.6,0.32,0.08
30,17,3,0.6,0.34,0.06
31,17,2,0.62,0.34,0.04
31,18,1,0.62,0.36,0.02
32,18,0,0.64,0.36,0.0
33,18,0,0.6471,0.3529,0.0
34,18,0,0.6538,0.3462,0.0
35,18,0,0.6604,0.3396,0.0
36,18,0,0.6667,0.3333,0.0
36,18,1,0.6545,0.3273,0.0182
37,18,0,0.6727,0.3273,0.0
38,18,0,0.6786,0.3214,0.0
39,18,0,0.6842,0.3158,0.0
39,18,1,0.6724,0.3103,0.0172
40,18,0,0.6897,0.3103,0.0
40,18,1,0.678,0.3051,0.0169
40,18,2,0.6667,0.3,0.0333
41,18,1,0.6833,0.3,0.0167
42,18,0,0.7,0.3,0.0
42,18,1,0.6885,0.2951,0.0164
42,18,2,0.6774,0.2903,0.0323
42,19,2,0.6667,0.3016,0.0317
42,20,1,0.6667,0.3175,0.0159
42,20,2,0.6562,0.3125,0.0312
42,21,1,0.6562,0.3281,0.0156
43,21,1,0.6615,0.3231,0.0154
44,21,0,0.6769,0.3231,0.0
44,21,1,0.6667,0.3182,0.0152
44,21,2,0.6567,0.3134,0.0299
45,21,1,0.6716,0.3134,0.0149
45,21,2,0.6618,0.3088,0.0294
46,21,1,0.6765,0.3088,0.0147
46,21,2,0.6667,0.3043,0.029
47,21,1,0.6812,0.3043,0.0145
48,21,1,0.6857,0.3,0.0143
49,21,1,0.6901,0.2958,0.0141
50,21,0,0.7042,0.2958,0.0
50,21,1,0.6944,0.2917,0.0139
50,21,2,0.6849,0.2877,0.0274
50,21,3,0.6757,0.2838,0.0405
50,21,4,0.6667,0.28,0.0533
50,21,5,0.6579,0.2763,0.0658
50,22,5,0.6494,0.2857,0.0649
50,23,5,0.641,0.2949,0.0641
50,24,4,0.641,0.3077,0.0513
50,25,4,0.6329,0.3165,0.0506
50,26,3,0.6329,0.3291,0.038
50,26,4,0.625,0.325,0.05
50,27,3,0.625,0.3375,0.0375
50,27,4,0.6173,0.3333,0.0494
51,27,3,0.6296,0.3333,0.037
52,27,2,0.642,0.3333,0.0247
53,27,1,0.6543,0.3333,0.0123
53,28,0,0.6543,0.3457,0.0
53,28,1,0.6463,0.3415,0.0122
53,28,2,0.6386,0.3373,0.0241
53,28,3,0.631,0.3333,0.0357
53,29,2,0.631,0.3452,0.0238
54,29,1,0.6429,0.3452,0.0119
55,29,0,0.6548,0.3452,0.0
55,29,1,0.6471,0.3412,0.0118
56,29,0,0.6588,0.3412,0.0
56,29,1,0.6512,0.3372,0.0116
56,29,2,0.6437,0.3333,0.023
57,29,2,0.6477,0.3295,0.0227
58,29,1,0.6591,0.3295,0.0114
59,29,0,0.6705,0.3295,0.0
59,29,1,0.6629,0.3258,0.0112
60,29,1,0.6667,0.3222,0.0111
61,29,0,0.6778,0.3222,0.0
61,29,1,0.6703,0.3187,0.011
61,30,1,0.663,0.3261,0.0109
61,30,2,0.6559,0.3226,0.0215
61,30,3,0.6489,0.3191,0.0319
61,31,3,0.6421,0.3263,0.0316
61,31,4,0.6354,0.3229,0.0417
61,32,4,0.6289,0.3299,0.0412
61,33,3,0.6289,0.3402,0.0309
61,34,2,0.6289,0.3505,0.0206
62,34,2,0.6327,0.3469,0.0204
63,34,1,0.6429,0.3469,0.0102
63,35,0,0.6429,0.3571,0.0
64,35,0,0.6465,0.3535,0.0
64,35,1,0.64,0.35,0.01
65,35,1,0.6436,0.3465,0.0099
66,35,0,0.6535,0.3465,0.0
66,35,1,0.6471,0.3431,0.0098
66,35,2,0.6408,0.3398,0.0194
